Date,Open,High,Low,Close,Adj Close,Volume
2022-04-16 14:15:00:00:00,40451.16406,40485.59375,40433.35547,40485.59375,40485.59375,47888384
2022-04-16 14:30:00:00:00,40487.54688,40490.69922,40465.54297,40481,40481,47872000
2022-04-16 14:45:00:00:00,40485.08203,40494.5,40472.45313,40493.28125,40493.28125,0
2022-04-16 15:00:00:00:00,40492.76172,40551.33984,40470.78516,40470.78516,40470.78516,0
2022-04-16 15:15:00:00:00,40363.67578,40363.67578,40243.32813,40284.61328,40284.61328,299225088
2022-04-16 15:30:00:00:00,40255.75,40255.75,40128.16797,40133.82813,40133.82813,166576128
2022-04-16 15:45:00:00:00,40147.12109,40166.69141,40090.56641,40090.56641,40090.56641,190746624
2022-04-16 16:00:00:00:00,40100.32422,40159.63281,40084.62891,40159.63281,40159.63281,50425856
2022-04-16 16:15:00:00:00,40154.73047,40174.69531,40154.48828,40174.69531,40174.69531,86168576
2022-04-16 16:30:00:00:00,40172.41406,40180.39063,40161.59375,40177.89453,40177.89453,5801984
2022-04-16 16:45:00:00:00,40184.6875,40186.31641,40153.16016,40178.08203,40178.08203,16924672
2022-04-16 17:00:00:00:00,40208.29297,40230.25391,40190.78125,40190.78125,40190.78125,0
2022-04-16 17:15:00:00:00,40188.17969,40201.02344,40171.45313,40171.45313,40171.45313,0
2022-04-16 17:30:00:00:00,40178.45313,40198.03125,40178.45313,40179.85547,40179.85547,0
2022-04-16 17:45:00:00:00,40170.49219,40177.46094,40154.64453,40156.12109,40156.12109,12403712
2022-04-16 18:00:00:00:00,40156.66797,40192.66406,40156.66797,40183.0625,40183.0625,331776
2022-04-16 18:15:00:00:00,40181.71875,40183.27734,40149.72266,40169.00781,40169.00781,0
2022-04-16 18:30:00:00:00,40173.375,40173.375,40147.05078,40149.40234,40149.40234,5458944
2022-04-16 18:45:00:00:00,40168.28906,40194.45313,40168.28906,40194.45313,40194.45313,0
2022-04-16 19:00:00:00:00,40196.39063,40218.21875,40196.39063,40218.21875,40218.21875,0
2022-04-16 19:15:00:00:00,40221.32031,40236.79297,40210.38281,40211.35156,40211.35156,15744000
2022-04-16 19:30:00:00:00,40211.85156,40238.53516,40211.85156,40235.07031,40235.07031,64818176
2022-04-16 19:45:00:00:00,40235.0625,40235.0625,40212.23828,40214.56641,40214.56641,0
2022-04-16 20:00:00:00:00,40222.42969,40230.1875,40217.04297,40221.50391,40221.50391,1876992
2022-04-16 20:15:00:00:00,40218.80469,40223.87109,40211.48828,40223.49609,40223.49609,5492736
2022-04-16 20:30:00:00:00,40224.98438,40249.40625,40224.98438,40244.89063,40244.89063,32032768
2022-04-16 20:45:00:00:00,40244.73047,40339.83984,40235.79297,40331.01172,40331.01172,105842688
2022-04-16 21:00:00:00:00,40313.66016,40326.78516,40313.66016,40319.87891,40319.87891,5678080
2022-04-16 21:15:00:00:00,40318.89844,40364.92188,40317.25781,40364.92188,40364.92188,7933952
2022-04-16 21:30:00:00:00,40378.13672,40392.29688,40371.82813,40392.29688,40392.29688,55726080
2022-04-16 21:45:00:00:00,40394.83203,40512.66016,40394.83203,40494.57031,40494.57031,155932672
2022-04-16 22:00:00:00:00,40500.11719,40633.67969,40500.11719,40621.44922,40621.44922,308310016
